MONTH	P_TC	P_PFPR	P_TACT_code	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TFR_99	TFR_95	TFR_75	TFR_50	TFR_25	TFR_05	TFR_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01
29	0.25	0.1	ASMQ_PPQ	1	0.3935907	0.31785665	0.12404675	0.0669593	0.02744935	0.003194351	0	0.30794841	0.2053979	0.12664475	0.0833333	0.052294225	0	0	0.000843565	0.000753925	0.000507375	0.00035475	0.00025775	0.00016525	0.000108025
30	0.25	0.1	ASMQ_PPQ	1	0.41711653	0.3073788	0.12205675	0.059566	0.030117475	0.00468588	0.001319997	0.20030769	0.15625	0.11174225	0.07417585	0.0434783	0	0	0.00082706	0.00073465	0.000507125	0.000354	0.00025825	0.000164875	0.000101075
31	0.25	0.1	ASMQ_PPQ	1	0.39475283	0.3103506	0.1286915	0.06402	0.027322875	0.003354575	0.00127907	0.21082074	0.176576	0.11778875	0.0769231	0.0377747	0	0	0.00082399	0.000719625	0.00049675	0.0003455	0.000260375	0.000164975	0.00009713
32	0.25	0.1	ASMQ_PPQ	1	0.40003651	0.32545955	0.1249245	0.06551375	0.0278619	0.003136325	0.001553009	0.18793269	0.166667	0.111111	0.0714286	0.03101325	0	0	0.00081063	0.00070445	0.0004795	0.0003405	0.00025925	0.000158275	0.000099995
33	0.25	0.1	ASMQ_PPQ	1	0.39382266	0.3287074	0.12339675	0.0709969	0.0309526	0.004170976	0.001465525	0.22230747	0.1886513	0.11458325	0.0769231	0.047619	0	0	0.00080345	0.0006801	0.00048025	0.00033525	0.00025425	0.0001514	0.00010295
34	0.25	0.1	ASMQ_PPQ	1	0.46001186	0.3387441	0.112647	0.07372345	0.0275115	0.003243882	0.001551726	0.25016667	0.166667	0.10842475	0.0678161	0.042608725	0	0	0.000805435	0.00068175	0.00048075	0.000332	0.00025725	0.00014975	0.000097525
35	0.25	0.1	ASMQ_PPQ	1	0.46094707	0.35240695	0.12087575	0.0712276	0.027065225	0.003189945	0.001639074	0.21786415	0.166667	0.100641	0.0666667	0.0384615	0	0	0.000829025	0.000665725	0.00047375	0.00032925	0.000249625	0.00014845	0.000094525
36	0.25	0.1	ASMQ_PPQ	1	0.46225104	0.3475668	0.116798	0.0750532	0.0263401	0.003296073	0.001599355	0.22294096	0.1827271	0.111111	0.07275135	0.03925925	0	0	0.000817555	0.000674125	0.000466125	0.00032425	0.0002555	0.000149	0.000092005
37	0.25	0.1	ASMQ_PPQ	1	0.49513624	0.3455641	0.12256	0.0718951	0.02382695	0.00435472	0.00162562	0.22772754	0.18925335	0.130721	0.0750469	0.0392157	0	0	0.0008118	0.00065895	0.000453	0.0003215	0.000244625	0.000144925	0.0000891
38	0.25	0.1	ASMQ_PPQ	1	0.50654106	0.320306	0.119198	0.07317575	0.029705625	0.004283848	0.001566457	0.26481213	0.2236109	0.11823525	0.0833333	0.044202875	0	0	0.00080039	0.000654575	0.000451	0.000315	0.00024525	0.0001476	0.00008863
39	0.25	0.1	ASMQ_PPQ	1	0.51627647	0.3264931	0.1231815	0.06787135	0.02926585	0.004578375	0.002234767	0.22285692	0.2005263	0.1217675	0.0833333	0.0430254	0	0	0.000801435	0.00063965	0.000455625	0.000313	0.000232875	0.000147275	0.00008617
40	0.25	0.1	ASMQ_PPQ	1	0.46379911	0.32586415	0.12788425	0.07108195	0.03583685	0.005331889	0.001733797	0.21526814	0.16833365	0.10131575	0.07408535	0.039615375	0	0	0.000800045	0.000650025	0.000437125	0.0003105	0.000236875	0.000136475	0.000086685
41	0.25	0.1	ASMQ_PPQ	1	0.45601433	0.33908085	0.1316775	0.07072895	0.0360539	0.005058551	0	0.33428538	0.2	0.125	0.089899	0.0526316	0	0	0.00076693	0.00065395	0.0004385	0.00031675	0.000240625	0.0001402	0.00008224
42	0.25	0.1	ASMQ_PPQ	1	0.4315724	0.3578365	0.1422565	0.0723729	0.03861355	0.004982198	0	0.302	0.142857	0.1	0.06838105	0.034195425	0	0	0.0007527	0.00065065	0.000441875	0.000321	0.00024325	0.000133825	0.00008121
43	0.25	0.1	ASMQ_PPQ	1	0.42845194	0.37224605	0.1384895	0.07389035	0.035118475	0.005169807	0	0.25	0.18193765	0.109596	0.0761974	0.0430254	0	0	0.0007444	0.0006416	0.0004225	0.0003135	0.000234125	0.00012645	0.00006885
44	0.25	0.1	ASMQ_PPQ	1	0.45691798	0.35772645	0.13745325	0.0764552	0.0317329	0.005148783	0	0.333333	0.17702245	0.107143	0.0666667	0.0357143	0	0	0.000723885	0.000630275	0.000432125	0.00031175	0.00023075	0.0001253	0.000062895
45	0.25	0.1	ASMQ_PPQ	1	0.4863718	0.36627475	0.14737525	0.07677525	0.031201375	0.004873096	0	0.20017391	0.17726285	0.117647	0.07793525	0.039615375	0	0	0.000713215	0.000621675	0.0004165	0.0003075	0.000226375	0.000126075	0.000056475
46	0.25	0.1	ASMQ_PPQ	1	0.4900658	0.35885195	0.14876975	0.0740745	0.033287275	0.004661458	0	0.20030769	0.1953659	0.105733	0.0666667	0.0330645	0	0	0.000731575	0.000621725	0.00040825	0.00030525	0.0002235	0.000119175	0.00005448
47	0.25	0.1	ASMQ_PPQ	1	0.48710668	0.3611659	0.1430235	0.0777049	0.02680895	0.004674985	0	0.2005	0.1592595	0.105263	0.06904765	0.033926625	0	0	0.000728205	0.000636075	0.00039225	0.00030775	0.000223	0.00012985	0.00005093
48	0.25	0.1	ASMQ_PPQ	1	0.49555392	0.3426045	0.142443	0.07836685	0.0287692	0.004253625	0	0.23096131	0.181818	0.105263	0.0666667	0.034336675	0	0	0.00068955	0.000637025	0.000397375	0.0003025	0.000221375	0.00012425	0.000051395
49	0.25	0.1	ASMQ_PPQ	1	0.47373704	0.33099885	0.13890725	0.0797962	0.024761175	0.004353435	0	0.25083333	0.1583336	0.111111	0.0555556	0.03101325	0	0	0.000669465	0.000613625	0.0003935	0.00029775	0.00021475	0.0001206	0.000055805
50	0.25	0.1	ASMQ_PPQ	1	0.49775663	0.3555851	0.14710175	0.07385145	0.026138	0.007053745	0	0.18230751	0.15633225	0.100862	0.0714286	0	0	0	0.000668065	0.000602025	0.000382	0.00029225	0.000215	0.000121875	0.00005231
51	0.25	0.1	ASMQ_PPQ	1	0.50609613	0.345229	0.1490305	0.0761836	0.027340725	0.007837747	0	0.21855042	0.16833365	0.0909091	0.0625	0.038105375	0	0	0.00066433	0.00059345	0.0003905	0.000285	0.00020775	0.000115575	0.000046375
52	0.25	0.1	ASMQ_PPQ	1	0.51350437	0.3491924	0.1533025	0.07722965	0.027427575	0.006446937	0	0.30033333	0.15083335	0.10390175	0.0736224	0.0228381	0	0	0.00064948	0.00058465	0.000378875	0.00027425	0.00021075	0.000109275	0.00004195
53	0.25	0.1	ASMQ_PPQ	1	0.52530098	0.32773285	0.1557625	0.0769563	0.02929605	0.00644153	0.00396	0.30128571	0.25	0.09758065	0.0645161	0	0	0	0.000647415	0.00058035	0.00037725	0.000276	0.0002045	0.0001064	0.000039495
54	0.25	0.1	ASMQ_PPQ	1	0.5099291	0.33100605	0.158138	0.0744914	0.030764825	0.007342436	0.004074078	0.27333306	0.1671572	0.1	0.05718955	0	0	0	0.000634095	0.000578025	0.0003715	0.00027325	0.00020075	0.00010405	0.00003897
55	0.25	0.1	ASMQ_PPQ	1	0.53160964	0.346171	0.1568995	0.073333	0.027785825	0.007734675	0.002234767	0.23131845	0.2005263	0.111111	0.0666667	0	0	0	0.000641865	0.000570025	0.000368	0.0002725	0.000188875	0.000107725	0.00003896
56	0.25	0.1	ASMQ_PPQ	1	0.49800404	0.34004545	0.15763475	0.07092085	0.031814525	0.007194031	0.002379812	0.20466667	0.1432899	0.0967742	0.05480485	0	0	0	0.00064622	0.00055755	0.000372125	0.00026625	0.000192	0.0000973	0.000036455
57	0.25	0.1	ASMQ_PPQ	1	0.54484275	0.3340883	0.1554145	0.08126855	0.032335825	0.006943928	0.002861008	0.30794841	0.2	0.111111	0.06350805	0.0333333	0	0	0.000660945	0.000562225	0.000367375	0.00026075	0.0001895	0.0000974	0.00003446
58	0.25	0.1	ASMQ_PPQ	1	0.55972077	0.349661	0.14608375	0.0776714	0.03032555	0.00867714	0.002518577	0.23096131	0.166667	0.0833333	0.0526316	0	0	0	0.00065741	0.000557125	0.00036125	0.00025725	0.000185875	0.000095775	0.0000354
59	0.25	0.1	ASMQ_PPQ	1	0.55701495	0.3575792	0.15750475	0.079048	0.028465125	0.005689396	0.003778622	0.18533315	0.17430825	0.0833333	0.05195685	0	0	0	0.00064289	0.0005601	0.000359	0.00025875	0.000183125	0.00009415	0.000039365
60	0.25	0.1	ASMQ_PPQ	1	0.56375825	0.3568539	0.163108	0.07655095	0.027537	0.008282375	0.001952666	0.22333311	0.1671572	0.09817075	0.0527778	0	0	0	0.000628705	0.00055485	0.000353875	0.000249	0.000184	0.0000932	0.000036415
61	0.25	0.1	ASMQ_PPQ	1	0.52926065	0.3758034	0.155708	0.074614	0.025843575	0.006364429	0.002190266	0.21464314	0.16742455	0.08794465	0.0526316	0	0	0	0.00062275	0.00053835	0.000343375	0.000243	0.0001815	0.00008885	0.00003694
62	0.25	0.1	ASMQ_PPQ	1	0.53249358	0.3685579	0.15336875	0.0695159	0.02574865	0.003388215	0	0.25022727	0.14321415	0.0909091	0.0526316	0	0	0	0.000594435	0.000539775	0.000335875	0.000245	0.000179375	0.0000916	0.000037455
63	0.25	0.1	ASMQ_PPQ	1	0.53661577	0.368313	0.15669225	0.07982965	0.0266805	0.005366144	0	0.22249978	0.15736605	0.08794465	0.04772725	0	0	0	0.00057598	0.0005276	0.00033225	0.0002405	0.000178375	0.000087125	0.000043495
64	0.25	0.1	ASMQ_PPQ	1	0.56699471	0.36554595	0.16608575	0.0699213	0.026944175	0.005920248	0	0.20014286	0.166667	0.0952381	0.05	0	0	0	0.00056034	0.000526675	0.000334625	0.00023325	0.00018	0.000078275	0.00003898
65	0.25	0.1	ASMQ_PPQ	1	0.53000699	0.37555215	0.17167375	0.0721849	0.02956255	0.004584844	0	0.181818	0.13689875	0.0869565	0.05	0	0	0	0.000553285	0.000510075	0.00033025	0.00022975	0.00018075	0.00007335	0.00003743
66	0.25	0.1	ASMQ_PPQ	1	0.49902463	0.35444365	0.16785375	0.07925825	0.02858495	0.006180954	0	0.31596444	0.18198635	0.0909091	0.0444664	0	0	0	0.000557505	0.000519125	0.000325125	0.000226	0.000179125	0.0000685	0.000039365
67	0.25	0.1	ASMQ_PPQ	1	0.51084969	0.33738705	0.170858	0.090954	0.027676325	0.004221766	0.001813185	0.25	0.188125	0.0909091	0.0513158	0	0	0	0.00054229	0.000506625	0.000324	0.00021825	0.000178	0.000066425	0.000040815
68	0.25	0.1	ASMQ_PPQ	1	0.51743084	0.3482526	0.17578275	0.0912358	0.03106765	0.00387898	0.001761566	0.2525	0.1834414	0.08794465	0.05195685	0	0	0	0.000534735	0.0005122	0.00031675	0.000219	0.000177	0.0000605	0.00003784
69	0.25	0.1	ASMQ_PPQ	1	0.48541502	0.33243775	0.18134475	0.0860018	0.03259665	0.004626217	0.00175532	0.17670629	0.14340645	0.0869565	0.05634925	0	0	0	0.000532535	0.00049495	0.000315125	0.00022025	0.00016975	0.000067175	0.000033895
70	0.25	0.1	ASMQ_PPQ	1	0.49078424	0.35884605	0.17285575	0.08758495	0.032821425	0.007566063	0.003714774	0.20022222	0.166667	0.08602485	0.04598305	0	0	0	0.00053209	0.000484225	0.0003085	0.00021975	0.00016425	0.000063225	0.0000314
71	0.25	0.1	ASMQ_PPQ	1	0.4858672	0.36196545	0.177543	0.08478985	0.030613275	0.006954341	0.00440156	0.604	0.18198635	0.08794465	0.0425725	0	0	0	0.00053507	0.0004671	0.00030025	0.00021525	0.000158875	0.0000603	0.000028895
72	0.25	0.1	ASMQ_PPQ	1	0.48158418	0.35286755	0.1658525	0.09262755	0.03101325	0.006149913	0.004231814	0.20066667	0.125	0.069581275	0.0323929	0	0	0	0.00051917	0.000459725	0.00030575	0.000212	0.000154875	0.00006535	0.00003186
73	0.25	0.1	ASMQ_PPQ	1	0.49777979	0.3665232	0.16770275	0.08726505	0.032140525	0.006109342	0.00341078	0.30961508	0.2011111	0.1	0.0416667	0	0	0	0.000500175	0.00046465	0.000308	0.00021225	0.0001525	0.00006575	0.000027425
74	0.25	0.1	ASMQ_PPQ	1	0.50934134	0.36319965	0.16791625	0.0874837	0.033204475	0.004090561	0.002366423	0.22333311	0.14352665	0.0714286	0.0385185	0	0	0	0.00049466	0.0004605	0.00030025	0.00020725	0.00015275	0.00007195	0.00002594
75	0.25	0.1	ASMQ_PPQ	1	0.50105263	0.35243945	0.16185125	0.08745805	0.03050265	0.004053479	0.002144933	0.222222	0.178571	0.0869565	0.037037	0	0	0	0.00050168	0.000459575	0.00029725	0.00020375	0.00015125	0.00007095	0.00002442
76	0.25	0.1	ASMQ_PPQ	1	0.49305378	0.34446755	0.16787025	0.0937092	0.02812675	0.003257003	0.001661072	0.22249978	0.166667	0.092375375	0.0454545	0	0	0	0.00050203	0.000459575	0.000306375	0.00020675	0.000145	0.000074425	0.000027875
77	0.25	0.1	ASMQ_PPQ	1	0.48053391	0.3547124	0.1749735	0.0941215	0.027544725	0.004077722	0.0022925	0.25	0.181818	0.080833325	0.04272725	0	0	0	0.0005037	0.0004607	0.000302125	0.00020625	0.000138625	0.00007115	0.00003091
78	0.25	0.1	ASMQ_PPQ	1	0.50049451	0.3339409	0.172097	0.09352095	0.030053725	0.004957846	0.003441112	0.2005	0.142857	0.08794465	0.0526316	0	0	0	0.00048345	0.000454325	0.000297625	0.0002045	0.0001365	0.000066225	0.000028455
79	0.25	0.1	ASMQ_PPQ	1	0.53353402	0.34378765	0.17841975	0.0928531	0.033136975	0.003070117	0	0.25083333	0.20041665	0.069165975	0.027027	0	0	0	0.00047129	0.0004465	0.0002955	0.000203	0.000137125	0.00006695	0.000030465
80	0.25	0.1	ASMQ_PPQ	1	0.52553927	0.36254185	0.18764	0.08707285	0.029993	0.003148266	0	0.25083333	0.222222	0.093181825	0.04653675	0	0	0	0.00047218	0.0004371	0.00029	0.0001995	0.000132875	0.000066875	0.000030965
81	0.25	0.1	ASMQ_PPQ	1	0.54301253	0.37521355	0.177482	0.0909404	0.02377525	0.002665369	0	0.5	0.16785745	0.07852565	0.0372414	0	0	0	0.0004905	0.00043505	0.000283125	0.000194	0.000129	0.000066825	0.000034895
82	0.25	0.1	ASMQ_PPQ	1	0.55339933	0.385472	0.18334825	0.088267	0.022780875	0.003060028	0	0.28785686	0.17764745	0.08794465	0.0435606	0	0	0	0.00047814	0.000427575	0.000282	0.00019	0.000123375	0.000063275	0.0000324
83	0.25	0.1	ASMQ_PPQ	1	0.53597454	0.39954435	0.180497	0.08879215	0.027249	0.002681418	0	0.27399973	0.12924705	0.07852565	0.0315271	0	0	0	0.000455265	0.000404775	0.000281	0.00018825	0.00012775	0.00006725	0.000030895
84	0.25	0.1	ASMQ_PPQ	1	0.50781983	0.39449125	0.18233825	0.08891805	0.031641325	0.002574529	0	0.25083333	0.2	0.0909091	0.037037	0	0	0	0.00044483	0.000410475	0.000272	0.00018575	0.000127875	0.000057525	0.00003236
85	0.25	0.1	ASMQ_PPQ	1	0.53870238	0.36565455	0.17915325	0.0866307	0.03062	0.004727333	0	0.21436536	0.15862095	0.067857175	0	0	0	0	0.000438675	0.000407025	0.00026025	0.000183	0.000126	0.00005865	0.000030845
86	0.25	0.1	ASMQ_PPQ	1	0.53177959	0.357616	0.17846675	0.10145275	0.02751935	0.004037805	0	0.22285692	0.1821021	0.08794465	0.0333333	0	0	0	0.000416845	0.00039735	0.0002625	0.00018225	0.000124375	0.000059925	0.000026855
87	0.25	0.1	ASMQ_PPQ	1	0.5485922	0.3393485	0.172349	0.09479675	0.0361006	0.004695381	0	0.21880981	0.15448705	0.063541675	0	0	0	0	0.000418515	0.00039205	0.0002625	0.0001815	0.000122125	0.00005755	0.00002337
88	0.25	0.1	ASMQ_PPQ	1	0.55508958	0.35512085	0.172988	0.08968145	0.03591225	0.005061638	0	0.25	0.1740409	0.0666667	0	0	0	0	0.000418985	0.00038235	0.000255375	0.000181	0.000118625	0.000053725	0.0000239
