MONTH	P_TC	P_PFPR	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TF_99	TF_95	TF_75	TF_50	TF_25	TF_05	TF_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01	ELIMINATION
-12	0.25	0.1	0	0.037968538	0.010018601	0.000205498	0	0	0	0	28.68195565	26.21617965	22.67438328	19.95934959	17.95687461	15.89393101	14.73757339	0.17363573	0.1600154	0.13735075	0.1247125	0.111776	0.08857512	0.080701461	0
-12	0.25	0.1	1	0.036644936	0.014512951	0.000532782	0	0	0	0	27.31711577	25.76655983	22.64514502	21.07451506	19.05896275	16.02202434	12.83877551	0.17191221	0.16482395	0.1397785	0.1250615	0.11087025	0.088026525	0.084764331	1
-12	0.25	0.1	2	0.050700932	0.012612217	0.000452818	0.000130799	0	0	0	28.63334023	24.89557706	22.38022077	20.61051106	18.45221096	16.08111401	15.31201493	0.17803908	0.17025325	0.141129	0.127383	0.11376575	0.092508095	0.079346657	1
-12	0.25	1	0	0.01248362	0.007687428	0.00146044	0.000436922	0.000130866	3.87E-05	0	22.10223585	21.80236547	20.47302507	19.78199047	19.09148344	18.47515309	18.1174048	1.2424601	1.2316205	1.1944525	1.171805	1.1491975	1.1134825	1.1012742	0
-12	0.25	1	1	0.01256886	0.00679815	0.002994947	0.000892633	0.000263193	3.82E-05	2.00E-05	21.86589344	21.59444406	20.41745898	19.85441279	19.10426077	18.29571428	17.29678649	1.2613801	1.23049	1.205885	1.183295	1.159395	1.123797	1.1061205	0
-12	0.25	1	2	0.020236962	0.009096017	0.00196333	0.000823867	0.000184802	5.60E-05	3.82E-05	22.18134095	21.61371207	20.52653593	19.92517538	19.18135924	18.09171125	17.62612944	1.253989	1.2207635	1.192685	1.176775	1.1558125	1.1250695	1.1129993	0
-12	0.25	10	0	0.004714481	0.003965257	0.002417624	0.001531898	0.000929609	0.000431555	0.000257409	19.51723772	19.31498487	18.9097957	18.67651301	18.50122248	18.18247123	17.77759706	10.733417	10.69485	10.638325	10.60855	10.58715	10.54309	10.524587	0
-12	0.25	10	1	0.005037881	0.003987313	0.002540537	0.001445895	0.000913639	0.000447214	0.000263785	19.41981188	19.26824489	18.88015966	18.63106205	18.40778459	18.11556103	17.9039482	10.752977	10.701465	10.654975	10.6155	10.578325	10.5179	10.488355	0
-12	0.25	10	2	0.006144413	0.003736748	0.002270698	0.001512474	0.001058763	0.000485772	0.000352001	19.24531466	19.20266637	18.87290145	18.663979	18.42484302	18.09601589	17.87728241	10.717959	10.665695	10.62855	10.5977	10.572325	10.53174	10.509468	0
-12	0.5	0.1	0	0.057796346	0.038908494	0.005185216	0.000551765	0.00014961	0	0	25.63460085	24.37394397	22.68491915	21.22947028	19.90174005	17.64453421	16.80982722	0.19706419	0.1898709	0.16773225	0.15163	0.1363635	0.12326225	0.11597433	65
