P_SWITCH_YEAR,P_PFPR,P_TACT,FREQ_580Y_2032,PFPR_2032,TFR_10Y,Run
2022,0.001,baseline,0.0060241,0.000069,0.085022254,run1
2022,0.001,baseline,0.883934,0.000634,0.21961718,run10
2022,0.001,baseline,0.878505,0.000093,0.078694658,run100
2022,0.001,baseline,0.399371,0.0001325,0.113129757,run11
2022,0.001,baseline,0.842105,0.000018,0.070240144,run12
2022,0.001,baseline,0.142259,0.0001075,0.067094955,run13
2022,0.001,baseline,0.538895,0.0004085,0.13688327,run14
2022,0.001,baseline,0.160526,0.000167,0.100828225,run15
2022,0.001,baseline,0.00775194,0.0000595,0.083387601,run16
2022,0.001,baseline,0.0410095,0.0001365,0.072604189,run17
2022,0.001,baseline,0.00438596,0.000099,0.091040322,run18
2022,0.001,baseline,0.0393082,0.0002715,0.102130757,run19
2022,0.001,baseline,0.141553,0.0001825,0.115615133,run2
2022,0.001,baseline,0.0297297,0.0001615,0.081688552,run20
2022,0.001,baseline,0.724638,0.000031,0.095789261,run21
2022,0.001,baseline,0.266667,0.00011,0.086446748,run22
2022,0.001,baseline,0.109804,0.000103,0.074982981,run23
2022,0.001,baseline,0.777353,0.0008965,0.213762234,run24
2022,0.001,baseline,0.0288462,0.000094,0.071878228,run25
2022,0.001,baseline,0.0145867,0.000256,0.090293467,run26
2022,0.001,baseline,0.25,0.0000645,0.075165118,run27
2022,0.001,baseline,0.0574324,0.000127,0.091494436,run28
2022,0.001,baseline,0.112994,0.000074,0.081135243,run29
2022,0.001,baseline,0.842733,0.0004055,0.184565286,run3
2022,0.001,baseline,0.240385,0.000135,0.08532664,run30
2022,0.001,baseline,0.071618,0.000154,0.081052471,run31
2022,0.001,baseline,0.289773,0.0000715,0.09227872,run32
2022,0.001,baseline,0.102244,0.000177,0.075340688,run33
2022,0.001,baseline,0.223485,0.000225,0.113826613,run34
2022,0.001,baseline,0.188,0.000307,0.118352502,run35
2022,0.001,baseline,0.0084507,0.0001575,0.094880999,run36
2022,0.001,baseline,0.0636183,0.0002155,0.084138486,run37
