ELIMINATION_PROBABILITY,TRIPLE_MUT_FREQ_2022,TRIPLE_MUT_FREQ_2032_75,TRIPLE_MUT_FREQ_2032_50,TRIPLE_MUT_FREQ_2032_25
0.62,0,0,0,0
0.41,0.001,0,0,0
0.53,0.0013,0,0,0
0.46,0.0017,0,0,0
0.64,0.0022,0,0,0
0.55,0.0028,0,0,0
0.53,0.0036,0,0,0
0.49,0.0046,0,0,0
0.54,0.005,0,0,0
0.52,0.006,0,0,0
0.41,0.0077,0.133195168,0,0
0.5,0.01,0.05230985,0,0
0.43,0.013,0.023491375,0,0
0.41,0.016,0.2098795,0,0
0.48,0.02,0.26225325,0.005388745,0
0.3,0.025,0.415124208,0.03359819,0
0.31,0.032,0.460971043,0.167892535,0
0.3,0.04,0.5534665,0.250978,0
0.28,0.06,0.643540385,0.48723719,0.1372685
0.14,0.08,0.675340495,0.467237015,0.253493792
0.14,0.1,0.755453843,0.606219025,0.431251323
0.05,0.2,0.828169538,0.745225705,0.624861662
0.02,0.3,0.884109942,0.82726016,0.770841602
