P_TC,P_PFPR,P_TACT,ELIMINATION_PROBABILITY,TRIPLE_MUT_FREQ_2022,TRIPLE_MUT_FREQ_2032_75,TRIPLE_MUT_FREQ_2032_50,TRIPLE_MUT_FREQ_2032_25
0.5,0.1,2,0.79,0.001,0.00640247,0.001952835,1.00E-05
0.5,0.1,2,0.81,0.0013,0.007993583,0.00170113,1.00E-05
0.5,0.1,2,0.8,0.0017,0.008453373,1.00E-05,1.00E-05
0.5,0.1,2,0.76,0.0022,0.005409358,1.00E-05,1.00E-05
0.5,0.1,2,0.83,0.0028,0.012785752,0.00277436,1.00E-05
0.5,0.1,2,0.85,0.0036,0.007952638,0.002164515,1.00E-05
0.5,0.1,2,0.78,0.0046,0.017041,0.002343772,1.00E-05
0.5,0.1,2,0.74,0.005,0.118122875,0.003652085,1.00E-05
0.5,0.1,2,0.8,0.006,0.0643276,0.00396912,1.00E-05
0.5,0.1,2,0.81,0.0077,0.228411533,0.007753905,1.00E-05
0.5,0.1,2,0.67,0.01,0.241652125,0.00502342,1.00E-05
0.5,0.1,2,0.64,0.013,0.382109043,0.006566875,1.00E-05
0.5,0.1,2,0.73,0.016,0.378350665,0.0315864,1.00E-05
0.5,0.1,2,0.61,0.02,0.485780908,0.135682905,0.002022303
0.5,0.1,2,0.62,0.025,0.512639143,0.15239856,0.002941478
0.5,0.1,2,0.59,0.032,0.5502211,0.26655066,0.004074405
0.5,0.1,2,0.43,0.04,0.621243188,0.352212113,0.109341465
0.5,0.1,2,0.37,0.06,0.65393075,0.508626535,0.300139665
0.5,0.1,2,0.22,0.08,0.797920936,0.642997035,0.439880043
0.5,0.1,2,0.2,0.1,0.799146694,0.686961,0.491798551
0.5,0.1,2,0.05,0.2,0.912480687,0.84890573,0.711862176
0.5,0.1,2,0,0.3,0.925125172,0.884129312,0.811524442
0.5,0.1,2,0,0.4,0.947483825,0.912343585,0.856148895
0.5,0.1,2,0,0.5,0.962732772,0.933046806,0.9006645
